date,geo,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Policy rate
2022-09-02,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-03,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-04,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-05,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-06,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-07,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-08,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-09,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-10,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-11,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-12,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-13,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-14,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-15,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-16,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-17,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-18,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-19,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-20,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-21,Fed,,,,,,,,,,,,,,,,,,2.375
2022-09-22,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-23,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-24,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-25,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-26,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-27,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-28,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-29,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,,,,,,,,,,,,,,,,,,3.125
2022-09-30,Fed,2.05249999999999,2.9975,,,,,,,,,,,,,,,,
2022-10-01,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-02,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-03,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-04,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-05,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-06,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-07,Fed,,,,,,,,,,,,,,,,,,3.125
2022-10-08,Fed,,,,,,,,,,,,,,,,,,3.125
